date,state,industry,employed_thousands
2009Q2,Victoria,Health Care and Social Assistance,292.92402463
2009Q2,Victoria,Manufacturing,297.82508744
2009Q2,Victoria,"Professional, Scientific and Technical Services",193.3277654
2009Q3,New South Wales,Accommodation and Food Services,188.9249928
2009Q3,New South Wales,Construction,285.87870965
2009Q3,New South Wales,Education and Training,245.96032108
2009Q3,New South Wales,Health Care and Social Assistance,384.08472577
2009Q3,New South Wales,Manufacturing,305.16386752
2009Q3,New South Wales,"Professional, Scientific and Technical Services",274.03859102
2009Q3,Queensland,Accommodation and Food Services,127.48792153
2009Q3,Queensland,Construction,224.75496145
2009Q3,Queensland,Education and Training,157.46900137
2009Q3,Queensland,Health Care and Social Assistance,253.75680456
2009Q3,Queensland,Manufacturing,189.85835427
2009Q3,Queensland,"Professional, Scientific and Technical Services",143.82608244
2009Q3,Victoria,Accommodation and Food Services,146.63198518000002
2009Q3,Victoria,Construction,224.44520721
2009Q3,Victoria,Education and Training,212.3834843
2009Q3,Victoria,Health Care and Social Assistance,306.83855825
2009Q3,Victoria,Manufacturing,304.28845626
2009Q3,Victoria,"Professional, Scientific and Technical Services",207.42547205
2009Q4,New South Wales,Accommodation and Food Services,178.64715446000002
2009Q4,New South Wales,Construction,284.13173195
2009Q4,New South Wales,Education and Training,253.03995283
2009Q4,New South Wales,Health Care and Social Assistance,380.69972137999997
2009Q4,New South Wales,Manufacturing,301.61523935
2009Q4,New South Wales,"Professional, Scientific and Technical Services",275.6450558
2009Q4,Queensland,Accommodation and Food Services,126.0203658
2009Q4,Queensland,Construction,235.43952504
2009Q4,Queensland,Education and Training,160.28388111
2009Q4,Queensland,Health Care and Social Assistance,234.6390835
2009Q4,Queensland,Manufacturing,180.82118556
2009Q4,Queensland,"Professional, Scientific and Technical Services",151.40670099000002
2009Q4,Victoria,Accommodation and Food Services,142.95477133999998
2009Q4,Victoria,Construction,220.77557171
2009Q4,Victoria,Education and Training,213.2878812
2009Q4,Victoria,Health Care and Social Assistance,309.88402888
2009Q4,Victoria,Manufacturing,293.29569871
2009Q4,Victoria,"Professional, Scientific and Technical Services",222.90230628
2010Q1,New South Wales,Accommodation and Food Services,175.29500973
2010Q1,New South Wales,Construction,286.62954528
2010Q1,New South Wales,Education and Training,230.42146680000002
2010Q1,New South Wales,Health Care and Social Assistance,383.52587205
2010Q1,New South Wales,Manufacturing,304.10293314
2010Q1,New South Wales,"Professional, Scientific and Technical Services",300.02505325
2010Q1,Queensland,Accommodation and Food Services,115.66607999
2010Q1,Queensland,Construction,230.4248782
2010Q1,Queensland,Education and Training,155.16486135999997
2010Q1,Queensland,Health Care and Social Assistance,239.39411166000002
2010Q1,Queensland,Manufacturing,175.20067809
2010Q1,Queensland,"Professional, Scientific and Technical Services",152.44030842
2010Q1,Victoria,Accommodation and Food Services,141.959041
2010Q1,Victoria,Construction,238.59836162
2010Q1,Victoria,Education and Training,205.08356578000001
2010Q1,Victoria,Health Care and Social Assistance,306.9718661
2010Q1,Victoria,Manufacturing,309.72173828
2010Q1,Victoria,"Professional, Scientific and Technical Services",220.25494601
2010Q2,New South Wales,Accommodation and Food Services,178.74945954999998
2010Q2,New South Wales,Construction,293.77161
2010Q2,New South Wales,Education and Training,251.06249363
2010Q2,New South Wales,Health Care and Social Assistance,396.0105177
2010Q2,New South Wales,Manufacturing,288.82132951
2010Q2,New South Wales,"Professional, Scientific and Technical Services",292.81418795
2010Q2,Queensland,Accommodation and Food Services,134.86266258
2010Q2,Queensland,Construction,223.02111217
2010Q2,Queensland,Education and Training,162.86655308
2010Q2,Queensland,Health Care and Social Assistance,256.48428356
2010Q2,Queensland,Manufacturing,189.38168529
2010Q2,Queensland,"Professional, Scientific and Technical Services",147.76045106
2010Q2,Victoria,Accommodation and Food Services,167.07796893999998
2010Q2,Victoria,Construction,251.87180445
2010Q2,Victoria,Education and Training,214.33237429
2010Q2,Victoria,Health Care and Social Assistance,301.50596354
2010Q2,Victoria,Manufacturing,289.35179669
2010Q2,Victoria,"Professional, Scientific and Technical Services",216.8804487
2010Q3,New South Wales,Accommodation and Food Services,175.64501243
2010Q3,New South Wales,Construction,269.95112251
2010Q3,New South Wales,Education and Training,269.71028108999997
2010Q3,New South Wales,Health Care and Social Assistance,415.02781261999996
2010Q3,New South Wales,Manufacturing,288.64563228
2010Q3,New South Wales,"Professional, Scientific and Technical Services",308.9734542
2010Q3,Queensland,Accommodation and Food Services,123.67341077
2010Q3,Queensland,Construction,220.44085693
2010Q3,Queensland,Education and Training,166.63015132
2010Q3,Queensland,Health Care and Social Assistance,244.19073221
2010Q3,Queensland,Manufacturing,197.18659659
2010Q3,Queensland,"Professional, Scientific and Technical Services",141.53987075
2010Q3,Victoria,Accommodation and Food Services,152.46459757
2010Q3,Victoria,Construction,244.75162061
2010Q3,Victoria,Education and Training,231.08108252
2010Q3,Victoria,Health Care and Social Assistance,320.15606048999996
2010Q3,Victoria,Manufacturing,299.48653537
2010Q3,Victoria,"Professional, Scientific and Technical Services",218.95932807
2010Q4,New South Wales,Accommodation and Food Services,181.9414918
2010Q4,New South Wales,Construction,294.39467984
2010Q4,New South Wales,Education and Training,263.23619326
2010Q4,New South Wales,Health Care and Social Assistance,422.17711749
2010Q4,New South Wales,Manufacturing,294.40181055
2010Q4,New South Wales,"Professional, Scientific and Technical Services",298.54882375
2010Q4,Queensland,Accommodation and Food Services,134.57424264
2010Q4,Queensland,Construction,234.58305889
2010Q4,Queensland,Education and Training,173.25050481
2010Q4,Queensland,Health Care and Social Assistance,254.45404274
2010Q4,Queensland,Manufacturing,189.58475964000002
2010Q4,Queensland,"Professional, Scientific and Technical Services",142.56455098
2010Q4,Victoria,Accommodation and Food Services,153.31552271
2010Q4,Victoria,Construction,246.69315693
2010Q4,Victoria,Education and Training,218.92945116
2010Q4,Victoria,Health Care and Social Assistance,324.98416467
2010Q4,Victoria,Manufacturing,304.72810198999997
2010Q4,Victoria,"Professional, Scientific and Technical Services",218.09121626
2011Q1,New South Wales,Accommodation and Food Services,207.19334351
2011Q1,New South Wales,Construction,265.95833903
2011Q1,New South Wales,Education and Training,247.68637483
2011Q1,New South Wales,Health Care and Social Assistance,422.26115712
2011Q1,New South Wales,Manufacturing,309.27116215
2011Q1,New South Wales,"Professional, Scientific and Technical Services",302.59814934999997
2011Q1,Queensland,Accommodation and Food Services,130.27646855
2011Q1,Queensland,Construction,228.60328891
2011Q1,Queensland,Education and Training,159.66270181
2011Q1,Queensland,Health Care and Social Assistance,260.54969972
2011Q1,Queensland,Manufacturing,168.97156447
2011Q1,Queensland,"Professional, Scientific and Technical Services",160.04491102
2011Q1,Victoria,Accommodation and Food Services,153.29730696000001
2011Q1,Victoria,Construction,252.70246038
2011Q1,Victoria,Education and Training,199.49968164
2011Q1,Victoria,Health Care and Social Assistance,328.92268386
2011Q1,Victoria,Manufacturing,301.83491669
2011Q1,Victoria,"Professional, Scientific and Technical Services",233.96046081
2011Q2,New South Wales,Accommodation and Food Services,197.47725414
2011Q2,New South Wales,Construction,287.09188644
2011Q2,New South Wales,Education and Training,269.5016494
2011Q2,New South Wales,Health Care and Social Assistance,396.38076033
